,extracted_comments,comments_date,translated_comments
2771,Seriously... How do you manage to play like that? ,2022-07-12 18:54:50,Seriously... How do you manage to play like that? 
2772,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like,2022-07-12 18:54:50,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like
2773,FIRE GAME BRO! Well done ,2022-07-12 18:54:50,FIRE GAME BRO! Well done 
2774,That was fire....,2022-07-12 18:54:50,That was fire....
2775,Yesterday i watch this match in your live ggs man you are the best,2022-06-12 18:54:50,Yesterday i watch this match in your live ggs man you are the best
2776,Final fights ,2022-06-12 18:54:50,Final fights 
2777,You're good. New subscriber here,2022-07-12 18:54:50,You're good. New subscriber here
2778,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?",2022-06-12 18:54:50,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?"
2779,Just found another GOD just subbed with bell and smashed that like ,2022-08-11 18:54:50,Just found another GOD just subbed with bell and smashed that like 
2780,Bro Tokyo is fast asf ,2022-09-10 18:54:50,Bro Tokyo is fast asf 
2781,"""help me step bro Im stuck"" xD thats why I enjoy ur streams",2022-09-10 18:54:50,"""help me step bro Im stuck"" xD thats why I enjoy ur streams"
2782,Great video my bro,2022-06-12 18:54:50,Great video my bro
2783,Wow!!!!! You are an amazing players!!!,2022-06-12 18:54:50,Wow!!!!! You are an amazing players!!!
2784,GGs bro new sub ,2022-06-12 18:54:50,GGs bro new sub 
2785,:_kral:,2022-06-12 18:54:50,:_kral:
2786,Helal kanka efsane olmuş ,2022-06-12 18:54:50,Helal kanka efsane olmuş 
2787,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo,2022-06-12 18:54:50,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo
2788,Perfect ,2022-06-12 18:54:50,Perfect 
2789,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big ,2022-06-12 18:54:50,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big 
2790,this is my first day watching your videos just i enjoyed ggs,2022-07-12 18:54:50,this is my first day watching your videos just i enjoyed ggs
2791,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin ,2022-06-12 18:54:50,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin 
2792,Shotgun play is insane!!!!,2022-06-12 18:54:50,Shotgun play is insane!!!!
2793,Damn you play way too smooth,2022-06-12 18:54:50,Damn you play way too smooth
2794,12:12,2022-10-19 18:54:50,12:12
2795,Hello Tokyo lezzgooo,2022-06-12 18:54:50,Hello Tokyo lezzgooo
2796,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man ",2022-07-12 18:54:50,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man "
2797,Tokyo is too cracked,2022-06-12 18:54:50,Tokyo is too cracked
2798,Nice gameplay ,2022-06-12 18:54:50,Nice gameplay 
2799,Joga muito ,2022-07-12 18:54:50,Joga muito 
2800,"Bro, you can go for the record",2022-06-12 18:54:50,"Bro, you can go for the record"
2801,The accent makes him even funnier,2022-08-11 18:54:50,The accent makes him even funnier
2802,bro furry klanindan slm 10 numarasın tam destek devamm ke,2022-06-12 18:54:50,bro furry klanindan slm 10 numarasın tam destek devamm ke
2803,Bro love the Shiloh music goes well with the tempo,2022-06-12 18:54:50,Bro love the Shiloh music goes well with the tempo
2804,Intense bro,2022-07-12 18:54:50,Intense bro
2805,42 kills exactly....damnnnn,2022-07-12 18:54:50,42 kills exactly....damnnnn
2806,Question...,2022-07-12 18:54:50,Question...
2807,gg ,2022-06-12 18:54:50,gg 
2808,My highest is like 21 kills. Aiming for 30 before.,2022-06-12 18:54:50,My highest is like 21 kills. Aiming for 30 before.
2809,"Sir, yesterday i watched ur video and i become ur fan sir.... ",2022-09-10 18:54:50,"Sir, yesterday i watched ur video and i become ur fan sir.... "
2810,Dude your insane ,2022-06-12 18:54:50,Dude your insane 
2811,Super ,2022-06-12 18:54:50,Super 
2812,gg wp bro.  Nice aim,2022-08-11 18:54:50,gg wp bro.  Nice aim
2813,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak,2022-06-12 18:54:50,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak
2814,9:00,2022-06-12 18:54:50,9:00
2815,You are the Best bro ,2022-06-12 18:54:50,You are the Best bro 
2816,Nice game!,2022-07-12 18:54:50,Nice game!
2817,Gg brooo,2022-06-12 18:54:50,Gg brooo
2818,Harikasın arkadaşım baypas tan sevgilerle,2022-10-10 18:54:50,Harikasın arkadaşım baypas tan sevgilerle
2819,🔥,2022-06-12 18:54:50,🔥
2820,Insane,2022-06-12 18:54:50,Insane
2821,Much love man ,2022-07-12 18:54:50,Much love man 
2822,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim,2022-07-12 18:54:50,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim
2823,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео",2022-06-12 18:54:50,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео"
2824,That’s tuff ,2022-06-12 18:54:50,That’s tuff 
2825,Crazy edit there,2022-06-12 18:54:50,Crazy edit there
2826,Bro we meet in isolated at farm ,2022-06-12 18:54:50,Bro we meet in isolated at farm 
2827,The squirrel is what gets me ,2022-06-12 18:54:50,The squirrel is what gets me 
2828,Can anyone tell how he kills enemies so fast,2022-06-12 18:54:50,Can anyone tell how he kills enemies so fast
2829,"Nice game bro,, ",2022-06-12 18:54:50,"Nice game bro,, "
2830,you the best bro ,2022-07-12 18:54:50,you the best bro 
2831,What’s the third song ? Great video ! Earned yourself a new sub and like,2022-07-12 18:54:50,What’s the third song ? Great video ! Earned yourself a new sub and like
2832,PARKER = BEST RECORD,2022-08-11 18:54:50,PARKER = BEST RECORD
2833,Nice ,2022-06-12 18:54:50,Nice 
2834,Damn bro you are insane,2022-07-12 18:54:50,Damn bro you are insane
2835,Woooow,2022-06-12 18:54:50,Woooow
2836,Liked it ,2022-06-12 18:54:50,Liked it 
2837,Beast,2022-06-12 18:54:50,Beast
2838,4:06,2022-08-11 18:54:50,4:06
2839,Daaamnn good,2022-07-12 18:54:50,Daaamnn good
2840,40bomb with hso,2022-06-12 18:54:50,40bomb with hso
2841,3:55,2022-07-12 18:54:50,3:55
2842,😂,2022-06-12 18:54:50,😂
2843,U deserve more subs,2022-08-11 18:54:50,U deserve more subs
2844,Bro am subscribing now ,2022-07-12 18:54:50,Bro am subscribing now 
2845,"You are so good man, ",2022-10-26 18:54:50,"You are so good man, "
2846,Nerelerdesin be Berk,2022-06-12 18:54:50,Nerelerdesin be Berk
2847,Funny gameplay ) tell me name of ur editor )),2022-06-12 18:54:50,Funny gameplay ) tell me name of ur editor ))
2848,GG,2022-06-12 18:54:50,GG
2849,Teke tek maç yapalım ,2022-06-12 18:54:50,Teke tek maç yapalım 
2850,Gg bro tchko tchiko ,2022-06-12 18:54:50,Gg bro tchko tchiko 
2851,Tokyooo luv you bro,2022-06-12 18:54:50,Tokyooo luv you bro
2852,How do you move so fast that’s crazy,2022-07-12 18:54:50,How do you move so fast that’s crazy
2853,Good game!,2022-07-12 18:54:50,Good game!
2854,Tokyo şu hs nin aparatlarını bi at bana bro.,2022-06-12 18:54:50,Tokyo şu hs nin aparatlarını bi at bana bro.
2855,Brucle senin kimi olamaz xaxa sen harikasin kanka,2022-06-12 18:54:50,Brucle senin kimi olamaz xaxa sen harikasin kanka
2856,Top 1 player ggs,2022-06-12 18:54:50,Top 1 player ggs
2857,Nice you legend,2022-06-12 18:54:50,Nice you legend
2858,Show ur sensitivity setting,2022-08-11 18:54:50,Show ur sensitivity setting
2859,Love you man,2022-06-12 18:54:50,Love you man
2860,I subscribed ASAP ,2022-06-12 18:54:50,I subscribed ASAP 
2861,Tokyo stuck in the dryer lol too much Hub,2022-06-12 18:54:50,Tokyo stuck in the dryer lol too much Hub
2862,High level skill,2022-07-12 18:54:50,High level skill
2863,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .,2022-06-12 18:54:50,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .
2864,Help me step brother i am stuck ,2022-06-12 18:54:50,Help me step brother i am stuck 
2865,Gg bro great video,2022-09-10 18:54:50,Gg bro great video
2866,The beat on ,2022-06-12 18:54:50,The beat on 
2867,legend,2022-07-12 18:54:50,legend
2868,Gg bro,2022-06-12 18:54:50,Gg bro
2869,50 is the current record right ???,2022-06-12 18:54:50,50 is the current record right ???
2870,Tekrar izledim yayindaa izlemiwdim,2022-06-12 18:54:50,Tekrar izledim yayindaa izlemiwdim
2871,Eaaaaaasy ,2022-06-12 18:54:50,Eaaaaaasy 
2872,Niceeeee,2022-06-12 18:54:50,Niceeeee
2873,9:20,2022-08-11 18:54:50,9:20
2874,how bypass are you using ????,2022-07-12 18:54:50,how bypass are you using ????
2875,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:),2022-08-11 18:54:50,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:)
2876,Nice Tokyo,2022-06-12 18:54:50,Nice Tokyo
2877,Would have been 42 .. 2 kills got stolen,2022-06-12 18:54:50,Would have been 42 .. 2 kills got stolen
2878,Sensitivity is gyro on??,2022-08-11 18:54:50,Sensitivity is gyro on??
2879,You have a sub from me bro,2022-07-12 18:54:50,You have a sub from me bro
2880,FOV Third person,2022-07-12 18:54:50,FOV Third person
2881,i hope u match up with the tokyo of philippines to see whos better,2022-08-11 18:54:50,i hope u match up with the tokyo of philippines to see whos better
2882,Woow bro GG ,2022-07-12 18:54:50,Woow bro GG 
2883,Canlı yayın yapmıyorsun tokyo özlettin kendini,2022-06-12 18:54:50,Canlı yayın yapmıyorsun tokyo özlettin kendini
2884,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos,2022-07-12 18:54:50,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos
2885,1/26.. at the end of the video.. which means there were 74 bots in the server lol,2022-10-10 18:54:50,1/26.. at the end of the video.. which means there were 74 bots in the server lol
2886,"So I play br but I don’t move like that , is it important",2022-09-10 18:54:50,"So I play br but I don’t move like that , is it important"
2887,Step bro got good aim u have the best videos ever i hope u get 1million subscribers,2022-06-12 18:54:50,Step bro got good aim u have the best videos ever i hope u get 1million subscribers
2888,Adamsın Berk helal olsun,2022-06-12 18:54:50,Adamsın Berk helal olsun
2889,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX""",2022-06-12 18:54:50,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX"""
2890,Çok rahat çok profosyonel ...,2022-06-12 18:54:50,Çok rahat çok profosyonel ...
2891,Killing machine,2022-06-12 18:54:50,Killing machine
2892,Bro has 39 kill say 40 i love you hahaha,2022-06-12 18:54:50,Bro has 39 kill say 40 i love you hahaha
2893,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?",2022-07-12 18:54:50,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?"
2894,Canlı izledim bir de buradan izleyeyim:)),2022-06-12 18:54:50,Canlı izledim bir de buradan izleyeyim:))
2895,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar,2022-07-12 18:54:50,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar
2896,How many fingers does he play?,2022-08-11 18:54:50,How many fingers does he play?
2897,Two kills been stollen xd ,2022-06-12 18:54:50,Two kills been stollen xd 
2898,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees,2022-06-12 18:54:50,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees
2899,Pls Tokyo only day new vidéo pls,2022-06-12 18:54:50,Pls Tokyo only day new vidéo pls
2900,XD,2022-06-12 18:54:50,XD
2901,Jiggle jiggle ,2022-06-12 18:54:50,Jiggle jiggle 
2902,I Love Tokyo,2022-06-12 18:54:50,I Love Tokyo
2903,Hello sir I'm your Begg fen sir sensitive,2022-07-12 18:54:50,Hello sir I'm your Begg fen sir sensitive
2904,All this guy make you say is omg omg ,2022-07-12 18:54:50,All this guy make you say is omg omg 
2905,i thought its 4K Tokyo,2022-09-10 18:54:50,i thought its 4K Tokyo
2906,HS LOADOUT PLS,2022-06-12 18:54:50,HS LOADOUT PLS
2907,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE,2022-06-12 18:54:50,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE
2908,Ooo bro very nice very good respeckt ,2022-06-12 18:54:50,Ooo bro very nice very good respeckt 
2909,No one play like lotex in the world ggs tokyo you are good player,2022-07-12 18:54:50,No one play like lotex in the world ggs tokyo you are good player
2910,9:22,2022-06-12 18:54:50,9:22
2911,Best player,2022-06-12 18:54:50,Best player
2912,What the name of the song at the end bro?,2022-07-12 18:54:50,What the name of the song at the end bro?
2913,Nice bro ,2022-07-12 18:54:50,Nice bro 
2914,best smg player,2022-06-12 18:54:50,best smg player
2915,You're the best bro,2022-08-11 18:54:50,You're the best bro
2916,I like the song in the background,2022-06-12 18:54:50,I like the song in the background
2917,Good game,2022-06-12 18:54:50,Good game
2918,Este tipo se mato a media partida xdxd,2022-07-12 18:54:50,Este tipo se mato a media partida xdxd
2919,42 kills they took 2 kills,2022-06-12 18:54:50,42 kills they took 2 kills
2920,I watched 2 times ,2022-07-12 18:54:50,I watched 2 times 
2921,😂,2022-08-11 18:54:50,😂
2922,This is getting ridiculous ,2022-06-12 18:54:50,This is getting ridiculous 
2923,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant .",2022-06-12 18:54:50,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant ."
2924,10:32,2022-06-12 18:54:50,10:32
2925,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol,2022-06-12 18:54:50,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol
2926,Lot of kills,2022-06-12 18:54:50,Lot of kills
2927,Insane,2022-06-12 18:54:50,Insane
2928,Good game Tokyo ,2022-06-12 18:54:50,Good game Tokyo 
2929,GG,2022-07-12 18:54:50,GG
2930,80% nobs killed,2022-06-12 18:54:50,80% nobs killed
2931,Where r u from bro? Because u have 2 accents korean accent and india accent,2022-07-12 18:54:50,Where r u from bro? Because u have 2 accents korean accent and india accent
2932,Backward slide ,2022-09-10 18:54:50,Backward slide 
2933,nice,2022-06-12 18:54:50,nice
2934,This man is not cracked this man is all drugs by him self wtf bro,2022-06-12 18:54:50,This man is not cracked this man is all drugs by him self wtf bro
2935,what the fuvk are you doing man you make me wow wow wow shotgun is wow.,2022-07-12 18:54:50,what the fuvk are you doing man you make me wow wow wow shotgun is wow.
2936,Next Level Bro I liked,2022-06-12 18:54:50,Next Level Bro I liked
2937,Nice,2022-06-12 18:54:50,Nice
2938,Kardes turkce konuşsan daha cok abune olurdu sana,2022-06-12 18:54:50,Kardes turkce konuşsan daha cok abune olurdu sana
2939,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar,2022-06-12 18:54:50,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar
2940,OneFinger200ms lol,2022-06-12 18:54:50,OneFinger200ms lol
2941,So satisfying,2022-07-12 18:54:50,So satisfying
2942,Tokyo I played with you 5 times,2022-06-12 18:54:50,Tokyo I played with you 5 times
2943,Like,2022-06-12 18:54:50,Like
2944,it was cruel,2022-06-12 18:54:50,it was cruel
2945,Bro neden kadın karakter? Var mı bi esprisi?,2022-06-12 18:54:50,Bro neden kadın karakter? Var mı bi esprisi?
2946,Yes is good aimboot but u are clever u use it in hard movements,2022-11-08 18:54:50,Yes is good aimboot but u are clever u use it in hard movements
2947,Brother jajajaja. Saludos ThPotro,2022-10-29 18:54:50,Brother jajajaja. Saludos ThPotro
2948,Ni-,2022-06-12 18:54:50,Ni-
2949,EARLY GANG,2022-06-12 18:54:50,EARLY GANG
2950,👑,2022-06-12 18:54:50,👑
2951,Up bro,2022-09-10 18:54:50,Up bro
2952,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB ,2022-07-12 18:54:50,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB 
2953,hot Hot ,2022-06-12 18:54:50,hot Hot 
2954,Heat waves,2022-08-11 18:54:50,Heat waves
2955,پشمام,2022-06-12 18:54:50,پشمام
2956,Need Emulator gamers. Phone gamers 80% nobs...,2022-06-12 18:54:50,Need Emulator gamers. Phone gamers 80% nobs...
2957,💥,2022-06-12 18:54:50,💥
2958,🤔,2022-06-12 18:54:50,🤔
2959,👏,2022-06-12 18:54:50,👏
2960,Big fan bro ,2022-08-11 18:54:50,Big fan bro 
2961,You good as fuck,2022-10-10 18:54:50,You good as fuck
2962,:O,2022-06-12 18:54:50,:O
2963,❤,2022-06-12 18:54:50,❤
2964,❤,2022-06-12 18:54:50,❤
2965,im literally a bot ,2022-07-12 18:54:50,im literally a bot 
2966,Bom,2022-06-12 18:54:50,Bom
2967,only for the squirrel,2022-07-12 18:54:50,only for the squirrel
2968,Mac or fenec ?,2022-06-12 18:54:50,Mac or fenec ?
2969,Nice bro,2022-07-12 18:54:50,Nice bro
2970,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good,2022-06-12 18:54:50,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good
2971,♥,2022-06-12 18:54:50,♥
2972,Hiiiiiii YouTube!,2022-06-12 18:54:50,Hiiiiiii YouTube!
2973,Are you crazy men,2022-07-12 18:54:50,Are you crazy men
2974,Amazing,2022-07-12 18:54:50,Amazing
2975,Escopetas nerf,2022-07-12 18:54:50,Escopetas nerf
2976,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim,2022-06-12 18:54:50,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim
2977,Tokyo nice player 1 frist bro,2022-08-11 18:54:50,Tokyo nice player 1 frist bro
2978,BEST BRO,2022-07-12 18:54:50,BEST BRO
2979,gg,2022-06-12 18:54:50,gg
2980,Bro i love you,2022-06-12 18:54:50,Bro i love you
2981,Nta no9ch ,2022-06-12 18:54:50,Nta no9ch 
2982,Gg,2022-07-12 18:54:50,Gg
2983,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players",2022-07-12 18:54:50,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players"
2984,GG,2022-09-10 18:54:50,GG
2985,olum ne diyon lojik mojik anlıcamız dilden konuş,2022-06-12 18:54:50,olum ne diyon lojik mojik anlıcamız dilden konuş
2986,9:22,2022-06-12 18:54:50,9:22
2987,Nice,2022-07-12 18:54:50,Nice
2988,NICE,2022-07-12 18:54:50,NICE
2989,Nice,2022-08-11 18:54:50,Nice
2990,Ты первый,2022-06-12 18:54:50,Ты первый
2991,How??????????,2022-07-12 18:54:50,How??????????
2992,can you beat oopssorrygaming plsss that asian is arrogant(im also asian),2022-09-10 18:54:50,can you beat oopssorrygaming plsss that asian is arrogant(im also asian)
2993,Hi,2022-06-12 18:54:50,Hi
2994,Is not suppose to be a mobile game not a iPad game ,2022-07-12 18:54:50,Is not suppose to be a mobile game not a iPad game 
2995,OmG,2022-07-12 18:54:50,OmG
2996,Toke,2022-06-12 18:54:50,Toke
2997,Hi YouTube,2022-06-12 18:54:50,Hi YouTube
2998,U r mad ,2022-07-12 18:54:50,U r mad 
2999,42*,2022-06-12 18:54:50,42*
3000,Why use a girl?,2022-07-12 18:54:50,Why use a girl?
3001,Atach hs??,2022-06-12 18:54:50,Atach hs??
3002,Hud reveal?,2022-06-12 18:54:50,Hud reveal?
3003,.,2022-06-12 18:54:50,.
3004,Tokyooooooooooo,2022-06-12 18:54:50,Tokyooooooooooo
3005,Helal kanka,2022-08-11 18:54:50,Helal kanka
3006,Play in the rom stop to kil nob in the Bad server,2022-07-12 18:54:50,Play in the rom stop to kil nob in the Bad server
3007,may tokyo sa pinas may tokyo din pala na taga ibang bansa,2022-07-12 18:54:50,may tokyo sa pinas may tokyo din pala na taga ibang bansa
3008,Yog amg ya,2022-06-12 18:54:50,Yog amg ya
3009,Tokyo op!!!,2022-06-12 18:54:50,Tokyo op!!!
3010,Hii,2022-07-12 18:54:50,Hii
3011,🤣,2022-09-10 18:54:50,🤣
3012,✊,2022-07-12 18:54:50,✊
3013,ماشاءالله اسطورة ,2022-07-12 18:54:50,ماشاءالله اسطورة 
3014,Jeeeez,2022-09-10 18:54:50,Jeeeez
3015,Efirr efirr,2022-06-12 18:54:50,Efirr efirr
3016,You talking a lot ,2022-08-11 18:54:50,You talking a lot 
3017,🤩,2022-07-12 18:54:50,🤩
3018,Así como hack en free fire jajaa igual el aimbot para dispRo,2022-07-12 18:54:50,Así como hack en free fire jajaa igual el aimbot para dispRo
3019,😂,2022-07-12 18:54:50,😂
3020,Nau nau,2022-06-12 18:54:50,Nau nau
3021,Por decir maldiciones le pongo no me gusta,2022-07-12 18:54:50,Por decir maldiciones le pongo no me gusta
3022,Hi bro ,2022-07-12 18:54:50,Hi bro 
3023,İngilizce yakışmıyor sana,2022-06-12 18:54:50,İngilizce yakışmıyor sana
3024,You Deepanchou jr ,2022-06-12 18:54:50,You Deepanchou jr 
3025,Good wow mantap,2022-06-12 18:54:50,Good wow mantap
3026,BROOOOOOOO,2022-07-12 18:54:50,BROOOOOOOO
3027,Ur noob,2022-06-12 18:54:50,Ur noob
3028,op,2022-06-12 18:54:50,op
3029,tokyo OP,2022-06-12 18:54:50,tokyo OP
3030,Trovo: ,2022-06-12 18:54:50,Trovo: 
3031,Tokyo is one of the best team-deleting players I've ever seen,2022-06-12 18:54:50,Tokyo is one of the best team-deleting players I've ever seen
3032,Not only that you are the most underrated but also amongst the best player of CODM BR Community,2022-06-12 18:54:50,Not only that you are the most underrated but also amongst the best player of CODM BR Community
3033,1:24,2022-07-12 18:54:50,1:24
3034,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore",2022-06-12 18:54:50,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore"
3035,Daddy Tokyo never disappoints with these banger clips,2022-06-12 18:54:50,Daddy Tokyo never disappoints with these banger clips
3036,This man gameplay is so freaking funny plus OP what more could one want GG new sub here,2022-06-12 18:54:50,This man gameplay is so freaking funny plus OP what more could one want GG new sub here
3037,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim,2022-06-12 18:54:50,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim
3038,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo,2022-06-12 18:54:50,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo
3039,Tokyo edits are getting crazy `Uwu’ ,2022-06-12 18:54:50,Tokyo edits are getting crazy `Uwu’ 
3040,my 5th time rewatching this particular clip and i just discovered your channel ,2022-08-11 18:54:50,my 5th time rewatching this particular clip and i just discovered your channel 
3041,Insane gameplay,2022-06-12 18:54:50,Insane gameplay
3042,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video,2022-07-12 18:54:50,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video
3043,Killing Machine ,2022-07-12 18:54:50,Killing Machine 
3044,Awesome video Tokyo I hope I can play with you one day ,2022-06-12 18:54:50,Awesome video Tokyo I hope I can play with you one day 
3045,Insane gameplay..,2022-06-12 18:54:50,Insane gameplay..
3046,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing",2022-07-12 18:54:50,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing"
3047,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler,2022-06-12 18:54:50,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler
3048,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro",2022-07-12 18:54:50,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro"
3049,damm,2022-06-12 18:54:50,damm
3050,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık ,2022-06-12 18:54:50,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık 
3051,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk,2022-07-12 18:54:50,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk
3052,Ese final ,2022-06-12 18:54:50,Ese final 
3053,Glad I found your channel I learn from everyone's clips ggs again,2022-06-12 18:54:50,Glad I found your channel I learn from everyone's clips ggs again
3054,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg.",2022-09-10 18:54:50,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg."
3055,fire as always akam ,2022-06-12 18:54:50,fire as always akam 
3056,High respect ,2022-06-12 18:54:50,High respect 
3057,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub),2022-09-10 18:54:50,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub)
3058,Bro you are so under rated,2022-06-12 18:54:50,Bro you are so under rated
3059,Gran vídeo. ,2022-09-10 18:54:50,Gran vídeo. 
3060,my dude is a killing machine.,2022-06-12 18:54:50,my dude is a killing machine.
3061,Great as always ,2022-06-12 18:54:50,Great as always 
3062,This guy is total vibe when he was trying to kill the platform pumped guy,2022-06-12 18:54:50,This guy is total vibe when he was trying to kill the platform pumped guy
3063,Well played bro,2022-06-12 18:54:50,Well played bro
3064,Insane brow! ,2022-07-12 18:54:50,Insane brow! 
3065,Ggs bro you are on top ,2022-06-12 18:54:50,Ggs bro you are on top 
